	id	date	year	type	area	location	activity	fatalyn	species	source	time	injury	country
408	2007.09.03.a	03-Sep-07	2007	Unprovoked	Florida	Fort Lauderdale, Broward County	Swimming	N	Possibly a spinner shark	S. Wyman, Sun-Sentinel, 9/3/2007; Local10.com	morning	injury	atlantic ocean
409	2007.08.28.b	28-Aug-07	2007	Unprovoked	Hawaii	Ka'a'awa, Oahu	Body boarding	N	Tiger shark, 10' to 12' 	Honolulu Advertiser, 8/29/2007	afternoon	injury	atlantic ocean
410	2007.08.28.a	28-Aug-07	2007	Unprovoked	California	Marina State Beach, Monterey County	Surfing	N	White shark, 12'	R. Collier	morning	injury	atlantic ocean
411	2007.08.26	26-Aug-07	2007	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	3' shark	S. Petersohn, GSAF 	earlyafternoon	injury	atlantic ocean
412	2007.08.20	20-Aug-07	2007	Provoked	Delaware	Indian River Inlet, Rehoboth Beach	Fishing	N	Sandtiger shark	Delaware Coast Press, 8/24/2007	earlyevening	death	atlantic ocean
413	2007.08.19.b	19-Aug-07	2007	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	4' to 5' shark	S. Petersohn, GSAF	latemorning	injury	atlantic ocean
414	2007.08.12	12-Aug-07	2007	Unprovoked	Florida	New Smyrna Beach, Volusia County	Swimming	N	 	S. Petersohn, GSAF	lateafternoon	injury	atlantic ocean
415	2007.07.21	21-Jul-07	2007	Unprovoked	California	Bean Hollow State Beach, San Mateo County	Kayak Fishing	N	White shark	R. Collier; San Francisco Chronicle, 7/23/2007; NorCal Kayak Anglers	morning	injury	atlantic ocean
416	2007.07.19.b	19-Jul-2007.b	2007	Unprovoked	Hawaii	Bellows Beach near Wailea Point, O�ahu	Snorkeling	N	 	Honolulu Advertiser, 7/20/2007; Honolulu Star Bulletin, 7/20/2007	earlyafternoon	injury	atlantic ocean
417	2007.07.19.a	19-Jul-2007.a	2007	Unprovoked	Territory of Cocos (Keeling) Islands	Direction Island	Wading	N	Bronze whaler shark, 1.5 m 	The Western Australian, 7/20/2007	morning	injury	pacific ocean
418	2007.07.18.b	18-Jul-07	2007	Unprovoked	North Carolina	North Topsail Beach, Onslow  County	Swimming	N	2' to 3' shark	C. Creswell, GSAF	latemorning	injury	atlantic ocean
419	2007.07.17.b	17-Jul-07	2007	Invalid	California	Faria Beach, Ventura County	Swimming	N	Shark involvement not confirmed	R. Collier	morning	injury	atlantic ocean
420	2007.07.17.a	17-Jul-07	2007	Unprovoked	North Carolina	Atlantic Beach, Carteret County	Wading	N	5' shark	C. Creswell, GSAF	earlyafternoon	injury	atlantic ocean
421	2007.07.10	10-Jul-07	2007	Unprovoked	Abaco Islands	Allan-Pensacola Cay	Spearfishing	N	Bull shark, 5' 	J. Regan	morning	death	atlantic ocean
422	2007.06.25	25-Jun-07	2007	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	4' shark	S. Petersohn, GSAF	lateafternoon	injury	atlantic ocean
423	2007.06.24	24-Jun-07	2007	Unprovoked	Hawaii	Silva's Channel, Mokuleia, O'ahu	Surfing	N	Tiger shark	G. Lee, KGMB9.com	earlymorning	death	atlantic ocean
424	2007.06.17	17-Jun-07	2007	Invalid	Florida	Vilano Beach, St.  Johns County	Surfing	N	Shark involvement not confirmed	St Augustine Record, 6/19/2007	afternoon	death	atlantic ocean
425	2007.06.12	12-Jun-07	2007	Unprovoked	Florida	Turtle Beach, Siesta Key, Sarasota County	Swimming	N	3' to 4' shark	R.B. Hackney, Sun-Sentinel, 7/13/2007	morning	injury	atlantic ocean
426	2007.05.16	16-May-07	2007	Unprovoked	Western Australia	Warra Beach, Coral Bay	Wading	N	2.5 m shark	The Western Australian, 5/16/2007	earlyafternoon	injury	pacific ocean
427	2007.05.12	12-May-07	2007	Unprovoked	Victoria	Warrnambool	Surfing	N	10' shark	The Standard, 5/15/2007	lateafternoon	injury	pacific ocean
428	2007.05.10	10-May-07	2007	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	4' to 5' shark	J. Manis	afternoon	injury	atlantic ocean
429	2007.05.07.b	07-May-07	2007	Unprovoked	Hawaii	Keawakapu Beach, Maui	Snorkeling	N	Tiger shark, 14' 	G. Kubota, Honolulu Star Bulletin, 5/8/2007	earlymorning	injury	atlantic ocean
430	2007.05.07.a	07-May-07	2007	Unprovoked	Florida	Naples	Swimming	N	6' to 8' shark	Naples News, 5/10/2007	earlymorning	death	atlantic ocean
431	2007.04.26	26-Apr-07	2007	Unprovoked	Queensland	Mornington Island, Gulf of Carpentaria	Swimming / jumping off a jetty	N	"""a small shark"""	news.com.au, 4/29/2007	earlyevening	injury	pacific ocean
432	2007.04.22	22-Apr-07	2007	Unprovoked	Florida	Hutchinson Island, St. Lucie County	Body boarding	N	blacktip or spinner shark	Sun-Sentinel, 4/23/2007	latemorning	injury	atlantic ocean
433	2007.04.20	20-Apr-07	2007	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	3' to 4' shark	Florida Today, 4/21/2007	lateafternoon	injury	atlantic ocean
434	2007.04.09	09-Apr-07	2007	Unprovoked	South Province	Dumb�a	Surfing	N	Tiger shark	Les Nouvelles Cal�doniennes, 4/11/2007	afternoon	injury	pacific ocean
435	2007.03.31.b	31-Mar-07	2007	Unprovoked	Florida	Normandy Beach, Hutchinson Island,  St. Lucie County	Surfing	N	3' shark	Palm Beach Post, 3/31/2007; Sun Sentinel, 4/3/2007	earlyafternoon	injury	atlantic ocean
436	2007.03.20	20-Mar-07	2007	Unprovoked	New South Wales	South Golden Beach	Surfing	N	1.5 m shark	Gold Coast Bulletin, 3/21/2007	morning	death	pacific ocean
437	2007.03.12	12-Mar-07	2007	Unprovoked	Queensland	Moore Park, north of Bundaberg	Swimming	N	2 to 2.5 m shark	ABC News Online	earlyafternoon	injury	pacific ocean
438	2007.01.25.b	25-Jan-07	2007	Unprovoked	North Province	Kaala-Gomen 	Spearfishing (free diving)	N	Tiger shark	Les Nouvelles Caledoniennes, 1/29/2007	earlyafternoon	injury	pacific ocean
439	2007.01.25.a	25-Jan-07	2007	Unprovoked	Florida	100 miles off Ft. Myers Beach	Shrimping	N	14' shark	P. Morales, News-Press, 2/5/2007	night	death	atlantic ocean
440	2007.01.23	23-Jan-07	2007	Unprovoked	New South Wales	Cape Howe	Diving	N	White shark, 3m	NZ Herald, 1/23/2007	morning	injury	pacific ocean
441	2007.01.09	09-Jan-07	2007	Unprovoked	New South Wales	Sandbar Beach	Surfing	N	2.4 m shark	J. Watson, Great Lakes Your Guide	earlymorning	injury	pacific ocean
442	2007.01.07	07-Jan-07	2007	Invalid	New York	Smith Point, Long Island	Surfing	N	"24"" to 30"" shark"	W. Brodsky	earlyafternoon	no injury	atlantic ocean
443	2007.01.05	01-Jan-07	2007	Unprovoked	Hawaii	Majors Bay, Kaua'i	Surfing	N	6' to 8' shark, possibly a tiger shark	P. Immerz, SharkProject.org; J. TenBruggencate, Honolulu Advertiser, 1/5/2007	morning	death	atlantic ocean
444	2006.12.18	18-Dec-06	2006	Unprovoked	Victoria	Winki Pop, Bells Beach	Surfing	N	2.5 to 3 m shark	P. Kemp, GSAF	evening	injury	pacific ocean
445	2006.12.11	11-Dec-06	2006	Unprovoked	North Island	Raglan, Manu Bay	Surfing	N	2 to 3 m shark	R.D. Weeks, GSAF	morning	injury	pacific ocean
446	2006.12.10	10-Dec-06	2006	Unprovoked	California	Dillon Beach, Marin County	Surfing	N	White shark, 12' to 15' 	P. Immerz; R. Collier; San Francisco Chronicle, 12/11/2006 	morning	injury	atlantic ocean
447	2006.12.02	02-Dec-06	2006	Unprovoked	Western Australia	Wharton Beach	Body boarding	N	White shark, 5m 	P. Kemp, GSAF, Sunday Mail, 12/3/2006	earlymorning	injury	pacific ocean
448	2006.11.11	11-Nov-06	2006	Unprovoked	Hawaii	Kihei, Maui	Swimming	N	2 m to 3 m shark	Honolulu Advertiser, 11/12/2006; B. Nicholson	latemorning	injury	atlantic ocean
449	2006.10.05	05-Oct-06	2006	Unprovoked	Florida	New Smyrna Beach, Volusia County	Playing soccer in the water	N	3' to 3.5' shark	S. Petersohn, GSAF	latemorning	injury	atlantic ocean
450	2006.09.14	14-Sep-06	2006	Unprovoked	Florida	Singer Island, Riviera Beach	Swimming	N	Spinner shark	WFTV.com	earlyafternoon	injury	atlantic ocean
451	2006.09.04	04-Sep-06	2006	Invalid	Queensland	Great Barrier Reef  	Diving	Y	No shark involvement	Sydney Morning Herald, CNN & internet	morning	death	pacific ocean
452	2006.09.03.a	03-Sep-06	2006	Unprovoked	Florida	New Smyrna Beach, Volusia County	Standing	N	3' shark	S. Petersohn, GSAF	lateafternoon	injury	atlantic ocean
453	2006.08.29.a	29-Aug-06	2006	Unprovoked	South Australia	Pennington Bay, Kangaroo Island	Surfing	N	Bronze whaler shark, 6'	P. Kemp, GSAF; S. Black, The Islander, 9/7/2006	afternoon	death	pacific ocean
454	2006.08.13	13-Aug-06	2006	Unprovoked	Western Cape Province	Sunrise Beach, Muizenberg	Lifesaving drill	N	White shark	P. Immerz 	morning	amputation	atlantic ocean
455	2006.07.31.a	31-Jul-06	2006	Unprovoked	Oregon	Oswald State Park	Surfing	N	White shark?	R. Collier, GSAF	afternoon	injury	atlantic ocean
456	2006.07.28	28-Jul-06	2006	Unprovoked	Western Cape Province	Fish Hoek	Surf-skiing	N	White shark, 3m to 4m	Cape Argus, 7/29/2006	afternoon	injury	atlantic ocean
457	2006.07.25	25-Jul-06	2006	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	 	S. Petersohn, GSAF	earlyafternoon	injury	atlantic ocean
458	2006.07.17	17-Jul-06	2006	Unprovoked	South Carolina	Singleton Beach, Hilton Head Island, Beaufort County	Standing	N	Angel shark, 1.2m 	 C. Creswell, GSAF	morning	injury	atlantic ocean
459	2006.07.08.b	08-Jul-06	2006	Unprovoked	South Carolina	Debordieu Beach, Georgetown County	Body boarding	N	5' to 6' spinner or bull shark	C. Creswell, GSAF	morning	injury	atlantic ocean
460	2006.06.20	20-Jun-06	2006	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	Possibly a 1' to 3' blacktip or spinner shark	 S. Petersohn, GSAF; P. Immerz	earlyafternoon	death	atlantic ocean
461	2006.06.15	15-Jun-06	2006	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	2' to 3' shark	S. Petersohn, GSAF	earlyafternoon	death	atlantic ocean
462	2006.06.07	07-Jun-06	2006	Unprovoked	South Carolina	Coligny Beach, Hilton Head, Beaufort County	Playing	N	3' to 4' shark	C. Creswell, GSAF; Islandpacket.com, 6/7/2006	earlyafternoon	injury	atlantic ocean
463	2006.06.05	05-Jun-06	2006	Unprovoked	South Australia	Waitpinga	Surfing	N	14' white shark	P.Kemp, GSAF; Sunday Mail (Adelaide), 6/11/2006, p.17	morning	injury	pacific ocean
464	2006.05.31	31-May-06	2006	Unprovoked	Hawaii	O'ahu	Spearfishing	N	Tiger shark, 8' to 12'	P. Immerz; Honolulu Advertiser, 6/1/2006	earlyafternoon	injury	atlantic ocean
465	2006.05.24	24-May-06	2006	Provoked	Hawaii	Lanai	Spearfishing	N	Grey reef shark, 5' to 8' 	Maui News, 5/26/2006	afternoon	provoked	atlantic ocean
466	2006.05.19	19-May-06	2006	Unprovoked	Guam	Gun Beach	Scuba diving	N	Tiger shark, 10' to 12'	R. Segal	earlyafternoon	injury	atlantic ocean
467	2006.05.02	02-May-06	2006	Provoked	Queensland	Moffat Beach, Caloundra	Snorkeling	N	Wobbegong shark, 2 m 	Sunshine Coast Daily, 5/4/2006	afternoon	death	pacific ocean
468	2006.04.11	11-Apr-06	2006	Unprovoked	New South Wales	Newcastle Beach	Surfing	N	Bronze whaler shark, a  juvenile 	Daily Telegraph, 4/12/2006	earlyafternoon	injury	pacific ocean
469	2006.04.09.b	09-Apr-06	2006	Unprovoked	Eastern Cape Province	St. Francis Bay	Body boarding	N	Raggedtooth shark, 2.5 m to 3 m 	J. Visser	lateafternoon	injury	atlantic ocean
470	2006.03.23	23-Mar-06	2006	Unprovoked	Hawaii	Leftovers, near Waimea Bay, O'ahu	Surfing	N	Tiger shark, 10'  	Honolulu Advertiser	morning	injury	atlantic ocean
471	2006.03.19	18-Mar-06	2006	Unprovoked	Vitu Levu	Sigatoka	Surfing	N	Tiger shark, 5' 	R.D. Weeks, GSAF; Fiji Sun, 3/19/2006	earlyevening	injury	pacific ocean
472	2006.03.15	15-Mar-06	2006	Unprovoked	New South Wales	Bondi, Sydney	Surfing	N	Bronze whaler shark, 2 m	The Australian, 3/15/2006	lateafternoon	injury	pacific ocean
473	2006.02.27	27-Feb-06	2006	Unprovoked	Hawaii	Makena, Maui	Standing	N	5' to 7' shark	G.T. Kubota, Star Bulletin, 2/28/2006	afternoon	injury	atlantic ocean
474	2006.02.12.a	12-Feb-06	2006	Unprovoked	South Australia	Brighton Beach, Adelaide	Fishing	N	4.5 m white shark	Port Adelaide Football Club	latemorning	death	pacific ocean
475	2006.02.01.b	01-Feb-06	2006	Unprovoked	Vava'u	Tu�anuku	Swimming	Y	Tiger shark	D. Clem; www.matangitonga.to	earlyevening	death	pacific ocean
476	2006.01.15	15-Jan-06	2006	Unprovoked	Western Australia	Off City Beach, Perth	Scuba diving	N	3.5 m white shark	T. Peake, GSAF	morning	injury	pacific ocean
477	2006.01.07	07-Jan-06	2006	Unprovoked	Queensland	Amity Point, North Stradbroke Island	Swimming	Y	Bull shark	T. Peake, GSAF	lateafternoon	death	pacific ocean
478	2006.01.04	04-Jan-06	2006	Unprovoked	Florida	Round Island Park, Indian River County	Surfing	N	4' shark	A. Neal, scripps.com	afternoon	injury	atlantic ocean
479	2005.12.24	24-Dec-05	2005	Unprovoked	Oregon	Tillamook Head, Clatsop County	Surfing	N	White shark	R. Collier, GSAF; L.A. Times, 12/25/2005	latemorning	injury	atlantic ocean
480	2005.12.21	21-Dec-05	2005	Unprovoked	Hawaii	Keawakapu Beach, Maui	Swimming	N	Tiger shark	 San Francisco Gate 2/21/2005	morning	injury	atlantic ocean
481	2005.12.11	11-Dec-05	2005	Unprovoked	Queensland	St. Crispin Reef	Spearfishing	N	Whitetip reef shark	Courier-Mail, 12/12/2005	morning	injury	pacific ocean
482	2005.12.05.R	Reported 06-Dec-2005	2005	Unprovoked	South Australia	Middle Beach, 40 km north of Adelaide	Fishing	N	4 m white shark	Melbourne Herald Sun, 12/5/2005	earlyafternoon	death	pacific ocean
483	2005.11.27	27-Nov-05	2005	Unprovoked	Florida	Ponce Inlet, New Smyrna Beach, Volusia County	Surfing	N	4' shark	S. Petersohn, GSAF	earlyafternoon	injury	atlantic ocean
484	2005.11.25.b	25-Nov-05	2005	Unprovoked	Victoria	Flinders	Surfing	N	1.8 m shark	Sydney Morning Herald, 11/25/2005	earlyevening	death	pacific ocean
485	2005.11.15	15-Nov-05	2005	Provoked	Eastern Cape Province	Aston Bay	Fishing for sharks	N	Raggedtooth shark, 2.5m 	J. Visser	earlyafternoon	death	atlantic ocean
486	2005.11.12	12-Nov-05	2005	Unprovoked	Florida	New Smyrna  Beach, Volusia County	Surfing	N	6' shark	S. Petersohn, GSAF	earlyafternoon	injury	atlantic ocean
487	2005.11.02.a	02-Nov-05	2005	Unprovoked	California	Ocean Beach, San Francisco, San Francisco County	Surfing	N	12' to 14' white shark	R. Collier, GSAF	earlymorning	death	atlantic ocean
488	2005.10.21	21-Oct-05	2005	Unprovoked	California	Klamath River mouth, Del Norte County	Surfing	N	White shark	R. Collier, GSAF	morning	no injury	atlantic ocean
489	2005.10.19	19-Oct-05	2005	Unprovoked	California	Salmon Beach, Sonoma County	Surfing	N	18' white shark	R. Collier, GSAF; Bay City Newswire	morning	injury	atlantic ocean
490	2005.10.13	13-Oct-05	2005	Unprovoked	Hawaii	Honokowai, Maui	Surfing	N	Tiger shark, less than 10'	Hawaii Department of Land and Natural Resources	earlyevening	injury	atlantic ocean
491	2005.10.01	01-Oct-05	2005	Unprovoked	Western Cape Province	Sunny Cove, Fish Hoek	Surf-skiing	N	White shark	Cape Argus, Cape Times, 10/3/2005	earlyafternoon	injury	atlantic ocean
492	2005.09.24	24-Sep-05	2005	Unprovoked	South Australia	Kangaroo Island	Surfing	N	14' to 16' white shark	T. Peake, GSAF	latemorning	injury	pacific ocean
493	2005.09.22	22-Sep-05	2005	Invalid	Florida	Tigertail Beach, Collier County	Surfing	N	Shark involvement not confirmed	A. Galabinski, Marco Island Sun Times, 9/22/2005	earlymorning	death	atlantic ocean
494	2005.09.20	20-Sep-05	2005	Unprovoked	South Carolina	Myrtle Beach, Horry County	Body surfing	N	3' to 4' shark	C. Creswell, GSAF; K. Galliard,  Sun News, 9/21/2005	afternoon	injury	atlantic ocean
495	2005.09.05	05-Sep-05	2005	Unprovoked	North Carolina	North Topsail Beach, Onslow County	Wading	N	Bull shark	Clay Creswell, GSAF	earlyafternoon	injury	atlantic ocean
496	2005.09.04.a	04-Sep-05	2005	Unprovoked	South Australia	Fishery Bay, Eyre Peninsula	Surfing	N	4 m [13'] white shark	C.Jenkin, Courier-Mail, 9/5/2005	earlyafternoon	injury	pacific ocean
497	2005.08.24.b	24-Aug-05	2005	Unprovoked	South Australia	Glenelg 	Scuba diving	Y	White shark	Adelaide Advertiser, 8/26/2005	afternoon	death	pacific ocean
498	2005.08.24.a	24-Aug-05	2005	Unprovoked	California	Scripps, LaJolla, San Diego County	Surfing	N	juvenile white shark	R. Collier, GSAF                	morning	injury	atlantic ocean
499	2005.08.12	12-Aug-05	2005	Unprovoked	North Carolina	Carolina Beach off Texas Avenue, New Hanover County	Surfing	N	1.8 m [6'] shark	C. Creswell, GSAF	morning	death	atlantic ocean
500	2005.07.22	22-Jul-05	2005	Invalid	Florida	Quarter mile south of Ponce de Leon Inlet, Volusia County	Surfing	N	Shark involvement not confirmed	D. Salamone, GSAF	morning	death	atlantic ocean
501	2005.07.15	15-Jul-05	2005	Unprovoked	North Carolina	Holden Beach, Brunswick County	Swimming	N	[4.5' to 5'] shark	C. Creswell, GSAF	afternoon	death	atlantic ocean
502	2005.07.13	13-Jul-05	2005	Unprovoked	Texas	Port Bolivar, Galveston County	Holding onto an inflatable boat	N	[4' to 5']	C. Creswell, GSAF	earlyafternoon	injury	atlantic ocean
503	2005.06.27	27-Jun-05	2005	Unprovoked	Florida	Cape San Blas, Gulf County	Fishing	N	Bull shark	E. Ritter, GSAF	morning	injury	atlantic ocean
504	2005.06.25	25-Jun-05	2005	Unprovoked	Florida	Destin, Walton County	Swimming with boogie board	Y	1.8 m [6'] bull shark	E. Ritter, GSAF	morning	death	atlantic ocean
505	2005.06.05	05-Jun-05	2005	Invalid	New Jersey	Surf City, Long Beach Island, Ocean County	Surfing	N	Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident	Mr. Horton; R. Collier,  R. Fernicola; M. Levine, E. Ritter, GSAF 	morning	death	atlantic ocean
506	2005.06.04	04-Jun-05	2005	Unprovoked	Western Cape Province	Miller's Point	Spearfishing (Free diving)	Y	White shark	News24.com; SABC; H. Steele	earlyafternoon	death	atlantic ocean
507	2005.05.28	28-May-05	2005	Unprovoked	Florida	Daytona Beach Shores	Swimming	N	"""small shark"""	Daytona Beach News Journal, 5/29/2005; Orlando Sentinel, 5/30/2005, p.B3	lateafternoon	injury	atlantic ocean
508	2005.05.27	27-May-05	2005	Unprovoked	Florida	Sand Key Beach, Clearwater, Pinellas County	Crouching in 2' of water	N	"18"" to 36"" shark"	D.Wilhoit, The Ledger, 5/29/ 2005	earlyevening	injury	atlantic ocean
509	2005.05.25	25-May-05	2005	Unprovoked	Eastern Cape Province	Kei River Mouth	Surfing	N	Raggedtooth shark	C. Prince, East London Daily Dispatch, 5/26/2005;  SABC News	morning	injury	atlantic ocean
510	2005.05.14	14-May-05	2005	Unprovoked	Hawaii	North Kihei, Maui	Kayaking	N	Tiger shark, 8' to 9' 	Hawaii Department of Land and Natural Resources	morning	injury	atlantic ocean
511	2005.05.02	02-May-05	2005	Unprovoked	Hawaii	Noreiga's, Maui	Surfing	N	Tiger shark, 3 m [10']	T. Hurley, Honolulu Advertiser; L. Fujimoto, Maui News, 5/3/2005 	morning	death	atlantic ocean
512	2005.04.25	25-Apr-05	2005	Provoked	New South Wales	Bermagui	Fishing	N	Mako shark, 1.5 m [5'] 	Brisbane Courier Mail, 4/26/2005	night	death	pacific ocean
513	2005.04.16.a	16-Apr-05	2005	Unprovoked	New South Wales	Bronte Beach	Surfing	N	Bronze whaler shark	The Sun; Illwarra Mercury; Yahoo News	earlymorning	death	pacific ocean
514	2005.03.28	28-Mar-05	2005	Unprovoked	Western Cape Province	Noordhoek	Surfing	N	4 m [13'] shark	ITN, 3/30/2005	morning	death	atlantic ocean
515	2005.03.19	19-Mar-05	2005	Unprovoked	Western Australia	Wreck Point, Abrolhos Islands	Snorkeling	Y	6 m [20'] white shark	T. Peake, GSAF	earlyafternoon	death	pacific ocean
516	2005.03.12	12-Mar-05	2005	Provoked	New Mexico	Albuquerue Aquarium, Albuquerue	Diving in aquarium display tank	N	Sandtiger shark, 2.1 m [7'] 	H. Casman; T. Dukart, KOBTV	earlyafternoon	death	atlantic ocean
517	2005.03.09	09-Mar-05	2005	Provoked	North Island	Waiapu River mouth , East Cape	Fishing	N	Bronze whaler shark, 4.3 m [14'] 	R.D. Weeks, GSAF	earlyafternoon	provoked	pacific ocean
518	2005.02.16	16-Feb-05	2005	Unprovoked	Hawaii	Rocky Point, north shore of O'ahu	Surfing	N	Tiger shark, 2.4 m [8']	 R. Collier, GSAF;  T. Winters, Honolulu Advertiser, 2/17/2005 	earlyafternoon	death	atlantic ocean
519	2005.01.14	14-Jan-05	2005	Provoked	Victoria	Blairgowrie	Attempting to drive shark away from sailing regatta	N	Bronze whaler shark, 2 m to 3 m [6.75' to 10']  	Herald Sun News	earlyafternoon	death	pacific ocean
520	2005.01.08	08-Jan-05	2005	Unprovoked	North Island	Taupiri Bay	Fishing from a kayak	N	White shark	R. Collier & R.D. Weeks, GSAF                	latemorning	injury	pacific ocean
521	2004.12.16	16-Dec-04	2004	Unprovoked	South Australia	West Beach, Adelaide	Scurfing (surfboard being  towed behind a boat)	Y	4.5 m & 5 m white shark 	P. Kemp & T. Peake, GSAF	earlyafternoon	death	pacific ocean
522	2004.12.11	11-Dec-04	2004	Unprovoked	Queensland	Opal Reef	Spearfishing	Y	Bull shark	Weekend Australian, 2/17/2005, et al.	earlyafternoon	death	pacific ocean
523	2004.11.27	27-Nov-04	2004	Unprovoked	Eastern Cape Province	Nahoon, East London	Surfing	N	Raggedtooth shark	J. Eager	earlyevening	death	atlantic ocean
524	2004.11.15	15-Nov-04	2004	Unprovoked	Western Cape Province	Fish Hoek, False Bay	Swimming	Y	6 m [20'] white shark	J.P. Botha, GSAF	earlymorning	death	atlantic ocean
525	2004.11.11.b	11-Nov-04	2004	Unprovoked	California	Bunkers, Humboldt Bay, Eureka, Humboldt County	Surfing	N	5.5 m [18'] white shark	R. Collier, GSAF                	earlyafternoon	injury	atlantic ocean
526	2004.10.31	31-Oct-04	2004	Unprovoked	Camaguey Province	Santa Lucia	Diving	N	2.5 m [8.25'] bull shark	E. Ritter, GSAF	earlyafternoon	injury	atlantic ocean
527	2004.10.10	10-Oct-04	2004	Unprovoked	California	Limantour Beach, Point Reyes National Seashore	Surfing	N	1.8 m to 2.4 m [6' to 8'] white shark	R. Collier, GSAF	morning	injury	atlantic ocean
528	2004.10.09.b	09-Oct-04	2004	Unprovoked	Hawaii	Moloka'i	Spearfishing	N	Tiger shark, 2.4 m to 3.7 m [8' to 12'] 	The Maui News, 10/10/2004 	latemorning	injury	atlantic ocean
529	2004.10.06	06-Oct-04	2004	Unprovoked	Conservat�ria District	P' tit Paris, Saint-Pierre	Body boarding	N	Thought to involve a 2.5 m bull or tiger shark	Federation Francaise de Surf	afternoon	injury	indian ocean
530	2004.09.25	25-Sep-04	2004	Unprovoked	Queensland	Batt Reef	Spearfishing/ filming	N	Tiger shark, 3 m [10'] 	R. Collier, GSAF	latemorning	injury	pacific ocean
531	2004.09.20	20-Sep-04	2004	Unprovoked	Oregon	Gold  Beach	Surfing	N	White shark	S. Mead, R. Collier, J. Eager, B. Middleton	morning	injury	atlantic ocean
532	2004.09.10	10-Sep-04	2004	Invalid	Texas	South Padre Island	Surf fishing	N	Shark involvement questionable	M. Shields	earlymorning	death	atlantic ocean
533	2004.09.04	04-Sep-04	2004	Unprovoked	South Carolina 	North of Apache Pier, Myrtle Beach, Horry County	Jumping	N	2.4 m [8'] shark	C. Creswell, GSAF	earlyafternoon	injury	atlantic ocean
534	2004.08.21	21-Aug-04	2004	Unprovoked	Pernambuco	Boa Viagem Beach, Recife	Bathing	N	Tiger shark, 1.5 m 	P. M. Lopes, GSAF, 8/22/2004	earlyafternoon	injury	atlantic ocean
535	2004.08.20	20-Aug-04	2004	Unprovoked	California	204s, San Clemente, Orange County	Surfing	N	0.9 m to 1.2 m [3' to 4'] white shark	R. Collier, GSAF	lateafternoon	injury	atlantic ocean
536	2004.08.15	15-Aug-04	2004	Unprovoked	California	Kibesillah, Mendocino County	Diving	Y	4.9 m to 5.5 m [16' to 18'] white shark	R. Collier & L. Levine, GSAF	afternoon	death	atlantic ocean
537	2004.08.06	06-Aug-04	2004	Unprovoked	Florida	Big Bayou, St. Petersburg, Pinellas County 	Swimming	N	1.2 m [4'] shark	T. Jerome, GSAF	evening	death	atlantic ocean
538	2004.07.27.b	27-Jul-04	2004	Unprovoked	North Carolina	Carolina Beach, New Hanover County	Swimming	N	1.8 m [6'] shark	C. Creswell, GSAF	lateafternoon	injury	atlantic ocean
539	2004.07.27.a	27-Jul-04	2004	Unprovoked	Texas	Galveston Island	Swimming	N	1.2 m to 1.5 m [4' to 5'] shark	KETK56 News	afternoon	injury	atlantic ocean
540	2004.07.25	25-Jul-04	2004	Unprovoked	Texas	Bryan Beach, Brazoria County	Wading / fishing & carrying a bag of fish	N	Bull shark	KRISTV.com	earlyevening	death	atlantic ocean
541	2004.07.10	10-Jul-04	2004	Unprovoked	Western Australia	Lefthanders Beach, Margaret River	Surfing	Y	2 sharks, 4.5 m & 3 m 	T. Peake, GSAF	earlyafternoon	death	pacific ocean
542	2004.07.02.a	02-Jul-04	2004	Unprovoked	Alabama	Gulf Shores Beach, Baldwin County	Wading	N	4' to 5' shark	C. Creswell, GSAF	afternoon	injury	atlantic ocean
543	2004.06.26.b	26-Jun-04	2004	Unprovoked	California	San Onofre State Beach, San Diego County	Surfing	N	"9'2"" white shark"	R. Collier; GSAF	morning	death	atlantic ocean
544	2004.06.10.a	10-Jun-04	2004	Unprovoked	Florida	Daytona Beach Shores, Volusia County	Swimming	N	1.2 m [4'] shark	T. Jerome, GSAF; Daytona Beach News Journal,, 6/11/2004, p.1C	earlyevening	injury	atlantic ocean
545	2004.06.02	02-Jun-04	2004	Unprovoked	Western Cape Province	Dyer Island	Swimming, poaching perlemoen	Y	White shark	J. Smetherham & B. Ndenze, Cape Times	earlyafternoon	death	atlantic ocean
546	2004.05.29	29-May-04	2004	Unprovoked	Texas	Pirate's Beach, Galveston Island	Wading	N	0.9 m to 1.5 m [3' to 5'] shark	J. David	earlyevening	death	atlantic ocean
547	2004.05.23.b	23-May-04	2004	Unprovoked	Pernambuco	Piedade Beach	Swimming	N	Bull shark	P. M. Lopes, GSAF; JC, 5/24/2004	earlyafternoon	injury	atlantic ocean
548	2004.05.28	28-May-04	2004	Unprovoked	California	Salmon Creek, Sonoma County	Surfing	N	2.4 m to 3.7 m [8' to 12'] shark	R. Collier, GSAF; B. Connor, Jr.	morning	no injury	atlantic ocean
